strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue
39200,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE39200.00,440,-287,-39.47730398899587,778,0.0,1842.9,42.90000000000009,2.383333333333338,48850,3625,25,1828.25,25,1843.0,41041
39300,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE39300.00,954,-191,-16.68122270742358,452,0.0,1734.9,37.700000000000045,2.221305679943439,51625,2350,25,1728.2,25,1759.8,41041
39400,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE39400.00,1562,-268,-14.6448087431694,525,0.0,1639.0,46.0,2.8876333961079723,57700,2300,900,1631.15,900,1659.9,41041
39500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE39500.00,22404,-2973,-11.715332781652677,8204,0.0,1531.15,37.80000000000018,2.5312217497572695,818075,3475,100,1531.25,25,1539.85,41041
39600,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE39600.00,5549,-336,-5.709430756159728,1821,0.0,1439.2,41.65000000000009,2.9802153769095985,48775,2775,900,1431.15,100,1439.2,41041
39700,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE39700.00,7194,-685,-8.693996700088844,1950,0.0,1340.95,49.25,3.812804830843075,54275,2650,900,1331.15,25,1357.0,41041
39800,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE39800.00,7668,-1346,-14.932327490570223,3329,0.0,1246.55,55.09999999999991,4.62461706324226,34500,3100,25,1237.25,25,1240.85,41041
39900,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE39900.00,5889,-1085,-15.557786062517923,4990,0.0,1140.1,43.799999999999955,3.9952567727811688,26375,2625,50,1136.7,25,1159.85,41041
40000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE40000.00,6431,-7625,-54.247296528173024,28117,0.0,1040.0,42.35000000000002,4.244975692878266,64150,3600,25,1040.0,25,1040.8,41041
40100,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE40100.00,2422,-837,-25.682724762196994,12619,0.0,936.5,37.950000000000045,4.223471147960608,47400,3475,50,936.0,25,940.1,41041
40200,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE40200.00,7550,-3572,-32.11652580471138,30309,0.0,838.35,35.5,4.421747524444167,54300,6400,25,838.15,25,840.1,41041
40300,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE40300.00,7643,-1954,-20.360529332082944,32483,0.0,739.75,38.35000000000002,5.467636156258914,26425,4275,125,738.65,25,740.05,41041
40400,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE40400.00,4310,-3601,-45.51889773732777,91606,0.0,637.3,30.799999999999955,5.078318219291007,35450,7350,100,638.0,800,639.0,41041
40500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE40500.00,25083,-9478,-27.42397500072336,492312,0.0,539.0,25.700000000000045,5.006818624586021,158725,9000,6650,539.0,25,539.2,41041
40600,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE40600.00,10823,-5852,-35.09445277361319,583001,0.0,439.0,14.25,3.3549146556798117,25400,15050,25,438.35,25,438.75,41041
40700,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE40700.00,12505,-10847,-46.44998287084618,1264643,0.0,338.55,-3.6499999999999773,-1.0666277030975972,79025,8875,200,338.55,1500,339.0,41041
40800,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE40800.00,15897,-21696,-57.71287207724843,3089946,0.0,238.15,-27.99999999999997,-10.520383242532397,477100,19550,425,238.7,550,238.9,41041
40900,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE40900.00,36937,-13846,-27.26502963590178,6168808,0.0,138.9,-59.75,-30.07802668009061,622750,43550,50,138.65,250,138.8,41041
41000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE41000.00,136533,-16658,-10.87400695863334,18195511,0.0,38.9,-102.94999999999999,-72.5766654917166,1275200,342750,25,38.55,500,38.65,41041
41100,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023CE41100.00,175143,99979,133.01447501463466,22004890,0.92,0.05,-96.3,-99.94810586403736,0,1299200,0,0.0,490925,0.05,41041
