strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue
43300,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE43300.00,0,-1,-100.0,1,70.89,2300.0,-1175.0,-33.81294964028777,10000,500,500,2000.1,500,2404.1,41041
43400,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE43400.00,0,0,0.0,0,0.0,0.0,0.0,0.0,750,0,500,2094.3,0,0.0,41041
43500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE43500.00,60,-91,-60.264900662251655,176,56.85,2459.4,-430.5999999999999,-14.89965397923875,825,550,500,2218.4,25,2461.45,41041
43600,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE43600.00,1,0,0.0,0,0.0,2732.0,0.0,0.0,575,575,75,2330.75,75,2653.5,41041
44000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE44000.00,68,-65,-48.87218045112782,132,82.48,2988.95,2.5,0.08371142995864655,525,500,500,2701.25,500,3072.45,41041
44500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE44500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,500,500,500,3178.25,500,3598.3,41041
45000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE45000.00,29,-7,-19.444444444444443,10,0.0,3900.0,-63.30000000000018,-1.597153886912426,75,500,75,3947.75,500,4113.25,41041
45500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE45500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,500,500,500,4125.45,500,4691.7,41041
46000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE46000.00,0,0,0.0,0,0.0,0.0,0.0,0.0,600,725,125,4894.15,200,5024.2,41041
46500,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE46500.00,2,0,0.0,2,0.0,5400.0,-346.5,-6.029757243539546,500,500,500,5075.4,500,5681.0,41041
47000,06-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY06-04-2023PE47000.00,1,1,0.0,2,121.13,5962.5,-358.10000000000036,-5.665601366958838,500,500,500,5562.4,500,6194.15,41041
